course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
U.S. Federal Taxation,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12000
Mathematics for Data Science,National Research University Higher School of Economics,SPECIALIZATION,4.5,Beginner,12000
New Approaches to Countering Terror: Countering Violent Extremism,"University of Maryland, College Park",COURSE,4.7,Beginner,12000
Sports Marketing,Northwestern University,COURSE,4.7,Intermediate,12000
Patrocinio Deportivo,Universitat Autònoma de Barcelona,COURSE,4.6,Beginner,12000
TensorFlow: Data and Deployment,deeplearning.ai,SPECIALIZATION,4.5,Intermediate,12000
Spacecraft Dynamics and Control,University of Colorado Boulder,SPECIALIZATION,4.8,Advanced,12000
Electric Industry Operations and Markets,Duke University,COURSE,4.8,Beginner,12000
Financial Reporting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12000
Finance for Non-Financial Managers,Emory University,COURSE,4.4,Intermediate,12000
"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,COURSE,4.7,Beginner,12000
The Science of Stem Cells,American Museum of Natural History,COURSE,4.7,Intermediate,12000
Scaling Operations: Linking Strategy and Execution,Northwestern University,COURSE,4.5,Mixed,12000
Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,COURSE,4.2,Mixed,12000
AI for Medical Diagnosis,deeplearning.ai,COURSE,4.7,Intermediate,12000
Agile и Scrum в работе над проектами и продуктами,ScrumTrek,COURSE,4.9,Beginner,12000
Business Model Innovation,HEC Paris,COURSE,4.7,Mixed,13000
Social Entrepreneurship,Copenhagen Business School,SPECIALIZATION,4.6,Beginner,13000
"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance,COURSE,4.0,Intermediate,13000
Evaluación educativa,Universidad Nacional Autónoma de México,SPECIALIZATION,4.8,Beginner,13000
AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,13000
"Open Source Software Development, Linux and Git",The Linux Foundation,SPECIALIZATION,4.4,Beginner,13000
BIM Fundamentals for Engineers,National Taiwan University,COURSE,4.6,Beginner,13000
FinTech: Finance Industry Transformation and Regulation,The Hong Kong University of Science and Technology,SPECIALIZATION,4.6,Beginner,13000
Memoir and Personal Essay: Write About Yourself,Wesleyan University,SPECIALIZATION,4.3,Beginner,13000
AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,COURSE,4.5,Intermediate,13000
The Science of Training Young Athletes,University of Florida,COURSE,4.9,Beginner,13000
Integrative Health and Medicine,University of Minnesota,SPECIALIZATION,4.8,Beginner,14000
Advertising and Society,Duke University,COURSE,4.8,Mixed,14000
The hidden value – Lean in manufacturing and services,École des Ponts ParisTech,COURSE,4.7,Beginner,14000
Get Interactive: Practical Teaching with Technology,Bloomsbury Learning Exchange,COURSE,4.7,Beginner,14000
Biostatistics in Public Health,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,14000
Sequence Models,deeplearning.ai,COURSE,4.8,Intermediate,14000
Foundational Finance for Strategic Decision Making,University of Michigan,SPECIALIZATION,4.8,Beginner,14000
Algorithms for Battery Management Systems,University of Colorado System,SPECIALIZATION,4.8,Intermediate,14000
Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,COURSE,4.7,Beginner,14000
Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,14000
Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,COURSE,4.7,Beginner,14000
Investment Management with Python and Machine Learning,EDHEC Business School,SPECIALIZATION,4.6,Beginner,14000
Искусство ведения бизнеса,Saint Petersburg State University,SPECIALIZATION,4.6,Beginner,14000
Modern Big Data Analysis with SQL,Cloudera,SPECIALIZATION,4.8,Beginner,14000
Love as a Force for Social Justice,Stanford University,COURSE,4.7,Beginner,14000
Security & Safety Challenges in a Globalized World,Universiteit Leiden,COURSE,4.7,Beginner,14000
Engineering Health: Introduction to Yoga and Physiology,New York University,COURSE,4.8,Beginner,14000
Arts and Heritage Management,Università Bocconi,COURSE,4.8,Mixed,15000
"Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives",University of Minnesota,COURSE,4.8,Mixed,15000
Communication Skills for Engineers,Rice University,SPECIALIZATION,4.7,Beginner,15000
Arts and Culture Strategy,National Arts Strategies,COURSE,4.6,Mixed,15000
Machine Learning for Trading,Google Cloud,SPECIALIZATION,3.9,Intermediate,15000
Six Sigma and the Organization (Advanced),University System of Georgia,COURSE,4.7,Intermediate,15000
Bugs 101: Insect-Human Interactions,University of Alberta,COURSE,4.9,Beginner,15000
Cost and Economics in Pricing Strategy,University of Virginia,COURSE,4.8,Beginner,15000
Construction Scheduling,Columbia University,COURSE,4.8,Beginner,15000
Research Data Management and Sharing,The University of Edinburgh,COURSE,4.6,Mixed,16000
Sports and Society,Duke University,COURSE,4.8,Mixed,16000
Leading: Human Resource Management and Leadership,Macquarie University,SPECIALIZATION,4.8,Intermediate,16000
Leading Healthcare Quality and Safety,The George Washington University,COURSE,4.8,Beginner,16000
Sales Training for High Performing Teams,HubSpot Academy,SPECIALIZATION,4.7,Beginner,16000
Information​ ​Systems,University of Minnesota,SPECIALIZATION,4.7,Beginner,16000
Introduction to Blockchain Technologies,INSEAD,COURSE,4.7,Beginner,16000
Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,COURSE,4.5,Advanced,16000
Developing APIs with Google Cloud's Apigee API Platform,Google Cloud,SPECIALIZATION,4.6,Intermediate,16000
Statistical Analysis with R for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner,16000
Introduction to User Experience Principles and Processes,University of Michigan,COURSE,4.8,Beginner,16000
Корпоративные финансы и стоимость компании,National Research University Higher School of Economics,SPECIALIZATION,4.5,Beginner,16000
Ecosystem Services: a Method for Sustainable Development,University of Geneva,COURSE,4.7,Intermediate,16000
Leadership Development for Engineers,Rice University,SPECIALIZATION,4.7,Beginner,17000
Drug Commercialization,University of California San Diego,COURSE,4.7,Beginner,17000
Design Thinking for the Greater Good: Innovation in the Social Sector,University of Virginia,COURSE,4.6,Beginner,17000
e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,University of Illinois at Urbana-Champaign,COURSE,4.5,Mixed,17000
Solar Energy Basics,The State University of New York,COURSE,4.8,Beginner,17000
Culture-Driven Team Building,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,17000
Emerging Technologies: From Smartphones to IoT to Big Data,Yonsei University,SPECIALIZATION,4.6,Beginner,17000
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,COURSE,4.7,Intermediate,17000
Revisão Sistemática e Meta-análise,Universidade Estadual de Campinas,COURSE,4.9,Intermediate,17000
Wonders of Ancient Egypt,University of Pennsylvania,COURSE,4.8,Intermediate,17000
Networking and Security Architecture with VMware NSX,VMware,COURSE,4.8,Intermediate,17000
Stanford's Short Course on Breastfeeding,Stanford University,COURSE,4.7,Beginner,17000
Write Your First Novel,Michigan State University,COURSE,4.4,Beginner,18000
American Contract Law I,Yale University,COURSE,4.9,Beginner,18000
Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,COURSE,4.7,Intermediate,18000
Ecology: Ecosystem Dynamics and Conservation,American Museum of Natural History,COURSE,4.8,Intermediate,18000
Customer Segmentation and Prospecting,Northwestern University,COURSE,4.7,Beginner,18000
Six Sigma Green Belt,University System of Georgia,SPECIALIZATION,4.7,Intermediate,18000
Programming with Google Go,"University of California, Irvine",SPECIALIZATION,4.6,Intermediate,18000
Getting Started with Google Sheets,Google Cloud,COURSE,4.6,Beginner,18000
Improving Leadership & Governance in Nonprofit Organizations,Luther College at the University of Regina,SPECIALIZATION,4.4,Beginner,18000
Feminism and Social Justice,"University of California, Santa Cruz",COURSE,4.8,Beginner,18000
Data and Health Indicators in Public Health Practice,Johns Hopkins University,COURSE,4.7,Beginner,18000
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,COURSE,4.6,Intermediate,19000
Основы Digital Маркетинга,National Research University Higher School of Economics,SPECIALIZATION,4.5,Intermediate,19000
Programming Fundamentals,Duke University,COURSE,4.7,Beginner,19000
International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,COURSE,4.8,Mixed,19000
Construction Cost Estimating and Cost Control,Columbia University,COURSE,4.7,Beginner,19000
Geopolitics of Europe,Sciences Po,COURSE,4.3,Mixed,19000
Data Collection and Processing with Python,University of Michigan,COURSE,4.7,Intermediate,19000
Using Python to Interact with the Operating System,Google,COURSE,4.7,Beginner,19000
The Social Context of Mental Health and Illness,University of Toronto,COURSE,4.6,Mixed,19000
Chicken Behaviour and Welfare,The University of Edinburgh,COURSE,4.7,Mixed,19000
Machine Learning for All,University of London,COURSE,4.6,Beginner,19000
Introduction to Computer Programming,"Goldsmiths, University of London",COURSE,4.3,Beginner,20000
Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,20000
Fundamentals of Immunology,Rice University,SPECIALIZATION,4.7,Intermediate,20000
Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,COURSE,4.8,Beginner,20000
Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,COURSE,4.8,Beginner,20000
"Sleep: Neurobiology, Medicine, and Society",University of Michigan,COURSE,4.8,Beginner,20000
International Organizations Management,University of Geneva,COURSE,4.8,Beginner,20000
Pricing Strategy Optimization,BCG,SPECIALIZATION,4.8,Beginner,20000
Digital Business Models,Lund University,COURSE,4.5,Beginner,21000
Python Classes and Inheritance,University of Michigan,COURSE,4.7,Intermediate,21000
Diseño y Creación de un Emprendimiento Social,Pontificia Universidad Católica de Chile,COURSE,4.9,Beginner,21000
Психолингвистика (Psycholinguistics),Saint Petersburg State University,COURSE,4.8,Mixed,21000
Age of Cathedrals,Yale University,COURSE,4.7,Beginner,21000
Blockchain Revolution,INSEAD,SPECIALIZATION,4.7,Beginner,21000
"Modern Robotics:  Mechanics, Planning, and Control",Northwestern University,SPECIALIZATION,4.7,Intermediate,21000
Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,21000
Nanotechnology: A Maker’s Course,Duke University,COURSE,4.8,Mixed,21000
"Negotiation, Mediation and Conflict Resolution",ESSEC Business School,SPECIALIZATION,4.7,Beginner,22000
Chinese for HSK 1,Peking University,COURSE,4.8,Beginner,22000
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,COURSE,4.7,Advanced,22000
Learn English,Tsinghua University,SPECIALIZATION,4.3,Beginner,22000
Preparing for the Google Cloud Associate Cloud Engineer Exam,Google Cloud,COURSE,4.7,Beginner,22000
Market Research,"University of California, Davis",SPECIALIZATION,4.5,Beginner,22000
Julia Scientific Programming,University of Cape Town,COURSE,4.5,Beginner,22000
Osteoarchaeology: The Truth in Our Bones,Universiteit Leiden,COURSE,4.7,Beginner,22000
Fundamentals of Reinforcement Learning,University of Alberta,COURSE,4.8,Intermediate,22000
"Influencing: Storytelling, Change Management and Governance",Macquarie University,SPECIALIZATION,4.8,Beginner,22000
International Humanitarian Law in Theory and Practice,Kalshoven-Gieskes Forum,COURSE,4.8,Beginner,22000
Cuidados y procedimientos generales en la atención del recién nacido,Universidad de Chile,COURSE,4.8,Intermediate,22000
Getting Started with SAS Programming,SAS,COURSE,4.9,Beginner,22000
Global Environmental Management,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,22000
International Business Essentials,University of London,SPECIALIZATION,4.5,Intermediate,22000
Building Conversational Experiences with Dialogflow,Google Cloud,COURSE,4.5,Beginner,22000
Smart Cities – Management of Smart Urban Infrastructures,École Polytechnique Fédérale de Lausanne,COURSE,4.6,Beginner,22000
The Business of Health Care,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,22000
Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,22000
Dairy Production and Management,The Pennsylvania State University,COURSE,4.8,Mixed,23000
Chemicals and Health,Johns Hopkins University,COURSE,4.7,Beginner,23000
The Changing Global Order,Universiteit Leiden,COURSE,4.7,Intermediate,23000
User Experience Research and Design,University of Michigan,SPECIALIZATION,4.8,Beginner,23000
Liderazgo efectivo para el siglo XXI,Universidad de los Andes,SPECIALIZATION,4.8,Intermediate,23000
Managing Innovation and Design Thinking,HEC Paris,SPECIALIZATION,4.7,Beginner,23000
Positive Psychology: Applications and Interventions,University of Pennsylvania,COURSE,4.8,Beginner,23000
The Art of Sales: Mastering the Selling Process,Northwestern University,SPECIALIZATION,4.7,Beginner,23000
Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,23000
Reinforcement Learning,University of Alberta,SPECIALIZATION,4.7,Intermediate,23000
Virtual Teacher,"University of California, Irvine",SPECIALIZATION,4.3,Beginner,23000
An Introduction to American Law,University of Pennsylvania,COURSE,4.8,Beginner,23000
Cybersecurity for Business,University of Colorado System,SPECIALIZATION,4.6,Beginner,23000
Engineering Project Management: Initiating and Planning,Rice University,COURSE,4.7,Beginner,23000
Implementación del Marketing Mix,IE Business School,SPECIALIZATION,4.7,Beginner,23000
"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,COURSE,4.7,Mixed,23000
Renewable Energy and Green Building Entrepreneurship,Duke University,COURSE,4.7,Beginner,24000
Data Analytics for Lean Six Sigma,University of Amsterdam,COURSE,4.8,Beginner,24000
Understanding Medical Research: Your Facebook Friend is Wrong,Yale University,COURSE,4.8,Beginner,24000
Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,COURSE,4.3,Intermediate,24000
Financing and Investing in Infrastructure,Università Bocconi,COURSE,4.8,Mixed,24000
Supply Chain Operations,Rutgers the State University of New Jersey,COURSE,4.8,Beginner,24000
Business Strategies for A Better World,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,24000
UX Design Fundamentals,California Institute of the Arts,COURSE,4.8,Beginner,25000
International Cyber Conflicts,The State University of New York,COURSE,4.4,Mixed,25000
¿Qué hacen los buenos directivos? Prioridades de la Alta Dirección,IESE Business School,COURSE,4.7,Beginner,25000
Introduction to Dental Medicine,University of Pennsylvania,COURSE,4.8,Beginner,25000
Fundamentos Empresariales,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,25000
Innovation: From Creativity to Entrepreneurship,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Beginner,25000
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,COURSE,4.8,Beginner,26000
Continuous Delivery & DevOps,University of Virginia,COURSE,4.6,Beginner,26000
Branding: The Creative Journey,IE Business School,SPECIALIZATION,4.6,Beginner,26000
"Python Functions, Files, and Dictionaries",University of Michigan,COURSE,4.8,Beginner,26000
Cuidado de heridas en el ámbito hospitalario,Universidad Nacional Autónoma de México,COURSE,4.8,Intermediate,26000
